epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.998,0.89093,0.81799,1.20697,0.82524,0.69418,0.71763,0.58145,0.78214,0.42681,1.21183,0.000237122,0.000237122,0.000237122
2,412.907,0.83096,0.69986,1.18069,0.89486,0.68946,0.71868,0.58413,0.84378,0.46408,1.25748,0.000465714,0.000465714,0.000465714
3,609.686,0.88335,0.78075,1.20749,0.83833,0.6698,0.70629,0.57265,0.85092,0.477,1.26509,0.000684882,0.000684882,0.000684882
4,802.96,0.90236,0.78818,1.21434,0.72774,0.69196,0.69062,0.56846,0.81217,0.46783,1.25265,0.000671588,0.000671588,0.000671588
5,997.44,0.90791,0.79174,1.22114,0.79073,0.62855,0.68779,0.52882,0.97023,0.55225,1.38905,0.000657451,0.000657451,0.000657451
6,1193.71,0.88234,0.77219,1.2088,0.85386,0.64524,0.7012,0.57169,0.84925,0.51801,1.27428,0.000643314,0.000643314,0.000643314
7,1387.65,0.87257,0.76123,1.21081,0.90286,0.65535,0.70656,0.55366,0.91433,0.47122,1.34399,0.000629177,0.000629177,0.000629177
8,1582.08,0.86782,0.76336,1.19984,0.90891,0.68618,0.71957,0.58536,0.81663,0.44583,1.25503,0.00061504,0.00061504,0.00061504
9,1795.45,0.85771,0.72423,1.1985,0.78112,0.68321,0.70297,0.56171,0.87053,0.4515,1.29905,0.000600902,0.000600902,0.000600902
10,1989.69,0.85202,0.72617,1.19532,0.72202,0.69514,0.69462,0.53289,0.89216,0.47217,1.32586,0.000586765,0.000586765,0.000586765
11,2182.37,0.84086,0.71304,1.18595,0.83579,0.68214,0.70526,0.58384,0.82137,0.43962,1.25727,0.000572628,0.000572628,0.000572628
12,2375.28,0.83025,0.69936,1.18054,0.83366,0.6512,0.69711,0.56172,0.86133,0.45721,1.28281,0.000558491,0.000558491,0.000558491
13,2567.79,0.82487,0.69283,1.17916,0.89125,0.68113,0.71294,0.59294,0.76759,0.43348,1.21369,0.000544354,0.000544354,0.000544354
14,2760.82,0.81978,0.69556,1.17342,0.93792,0.66401,0.71817,0.59299,0.76635,0.41647,1.20203,0.000530216,0.000530216,0.000530216
15,2954.25,0.79879,0.67449,1.16216,0.9104,0.65119,0.70556,0.57919,0.77091,0.43538,1.19783,0.000516079,0.000516079,0.000516079
16,3147.15,0.80223,0.68366,1.16395,0.81935,0.6503,0.6988,0.57228,0.77493,0.4329,1.23958,0.000501942,0.000501942,0.000501942
17,3340.38,0.78619,0.65762,1.15854,0.82879,0.67106,0.70188,0.57848,0.79716,0.43132,1.23647,0.000487805,0.000487805,0.000487805
18,3533.18,0.79071,0.66239,1.1601,0.92386,0.6654,0.71955,0.60448,0.77446,0.44446,1.23009,0.000473668,0.000473668,0.000473668
19,3726.86,0.79147,0.64572,1.16156,0.81004,0.68954,0.70217,0.596,0.70033,0.3953,1.1641,0.00045953,0.00045953,0.00045953
